Entity,Code,Year,Homeless
All disasters,,1900,0
All disasters,,1901,24
All disasters,,1902,0
All disasters,,1903,0
All disasters,,1904,2181
All disasters,,1905,20100
All disasters,,1906,110253
All disasters,,1907,0
All disasters,,1908,0
All disasters,,1909,3294
All disasters,,1910,0
All disasters,,1911,1466
All disasters,,1912,113940
All disasters,,1913,0
All disasters,,1914,53589
All disasters,,1915,0
All disasters,,1916,2133
All disasters,,1917,390
All disasters,,1918,0
All disasters,,1919,0
All disasters,,1920,0
All disasters,,1921,0
All disasters,,1922,11417
All disasters,,1923,26300
All disasters,,1924,12390
All disasters,,1925,17628
All disasters,,1926,40000
All disasters,,1927,180152
All disasters,,1928,2000
All disasters,,1929,0
All disasters,,1930,25551
All disasters,,1931,0
All disasters,,1932,20143
All disasters,,1933,3600150
All disasters,,1934,0
All disasters,,1935,239535
All disasters,,1936,221465
All disasters,,1937,0
All disasters,,1938,4710
All disasters,,1939,12837
All disasters,,1940,65730
All disasters,,1941,37259
All disasters,,1942,0
All disasters,,1943,23217
All disasters,,1944,106538
All disasters,,1945,23663
All disasters,,1946,3500
All disasters,,1947,35000
All disasters,,1948,322220
All disasters,,1949,5050
All disasters,,1950,40000
All disasters,,1951,334860
All disasters,,1952,4779
All disasters,,1953,146365
All disasters,,1954,134716
All disasters,,1955,378377
All disasters,,1956,77000
All disasters,,1957,0
All disasters,,1958,475
All disasters,,1959,0
All disasters,,1960,2250
All disasters,,1961,3171
All disasters,,1962,30000
All disasters,,1963,7200
All disasters,,1964,219900
All disasters,,1965,5156414
All disasters,,1966,2089319
All disasters,,1967,328463
All disasters,,1968,998408
All disasters,,1969,190527
All disasters,,1970,567090
All disasters,,1971,2093865
All disasters,,1972,1122502
All disasters,,1973,153124
All disasters,,1974,2106141
All disasters,,1975,7084428
All disasters,,1976,1719384
All disasters,,1977,6155310
All disasters,,1978,256984
All disasters,,1979,1193008
All disasters,,1980,2704879
All disasters,,1981,298043
All disasters,,1982,1042909
All disasters,,1983,1434641
All disasters,,1984,1927890
All disasters,,1985,2089943
All disasters,,1986,4608139
All disasters,,1987,1598691
All disasters,,1988,5520981
All disasters,,1989,1889659
All disasters,,1990,1886098
All disasters,,1991,6851375
All disasters,,1992,4742349
All disasters,,1993,1213331
All disasters,,1994,9299428
All disasters,,1995,5846375
All disasters,,1996,6998101
All disasters,,1997,3336485
All disasters,,1998,29424866
All disasters,,1999,6584276
All disasters,,2000,1766425
All disasters,,2001,3113066
All disasters,,2002,354880
All disasters,,2003,2900670
All disasters,,2004,2577923
All disasters,,2005,6266457
All disasters,,2006,6203123
All disasters,,2007,1152231
All disasters,,2008,3242535
All disasters,,2009,510312
All disasters,,2010,2423997
All disasters,,2011,1964972
All disasters,,2012,989095
All disasters,,2013,328923
All disasters,,2014,1364787
All disasters,,2015,622992
All disasters,,2016,2452754
All disasters,,2017,595982
All disasters,,2018,417216
All disasters,,2019,389001
All disasters,,2020,723769
All disasters,,2021,151934
All disasters,,2022,240807
All disasters,,2023,22653
Drought,,1900,0
Drought,,1903,0
Drought,,1906,0
Drought,,1910,0
Drought,,1919,0
Drought,,1920,0
Drought,,1921,0
Drought,,1928,0
Drought,,1931,0
Drought,,1933,0
Drought,,1940,0
Drought,,1942,0
Drought,,1943,0
Drought,,1946,0
Drought,,1947,0
Drought,,1960,0
Drought,,1961,0
Drought,,1963,0
Drought,,1964,0
Drought,,1965,0
Drought,,1966,0
Drought,,1967,0
Drought,,1968,0
Drought,,1969,0
Drought,,1970,0
Drought,,1971,0
Drought,,1972,0
Drought,,1973,0
Drought,,1974,0
Drought,,1976,0
Drought,,1977,0
Drought,,1978,0
Drought,,1979,0
Drought,,1980,0
Drought,,1981,0
Drought,,1982,0
Drought,,1983,0
Drought,,1984,0
Drought,,1985,0
Drought,,1986,0
Drought,,1987,0
Drought,,1988,0
Drought,,1989,0
Drought,,1990,0
Drought,,1991,0
Drought,,1992,0
Drought,,1993,0
Drought,,1994,0
Drought,,1995,0
Drought,,1996,0
Drought,,1997,0
Drought,,1998,0
Drought,,1999,0
Drought,,2000,0
Drought,,2001,0
Drought,,2002,0
Drought,,2003,0
Drought,,2004,0
Drought,,2005,0
Drought,,2006,0
Drought,,2007,0
Drought,,2008,0
Drought,,2009,0
Drought,,2010,0
Drought,,2011,0
Drought,,2012,0
Drought,,2013,0
Drought,,2014,0
Drought,,2015,0
Drought,,2016,0
Drought,,2017,0
Drought,,2018,0
Drought,,2019,0
Drought,,2020,0
Drought,,2021,0
Drought,,2022,0
Drought,,2023,0
Dry mass movement,,1903,0
Dry mass movement,,1905,0
Dry mass movement,,1908,0
Dry mass movement,,1937,0
Dry mass movement,,1955,2000
Dry mass movement,,1962,0
Dry mass movement,,1963,0
Dry mass movement,,1980,0
Dry mass movement,,1982,0
Dry mass movement,,1983,0
Dry mass movement,,1985,0
Dry mass movement,,1987,0
Dry mass movement,,1988,0
Dry mass movement,,1989,0
Dry mass movement,,1990,0
Dry mass movement,,1991,0
Dry mass movement,,1992,400
Dry mass movement,,1993,0
Dry mass movement,,2000,0
Dry mass movement,,2002,0
Dry mass movement,,2004,340
Dry mass movement,,2006,0
Dry mass movement,,2008,625
Dry mass movement,,2009,991
Dry mass movement,,2012,0
Dry mass movement,,2013,0
Dry mass movement,,2015,0
Dry mass movement,,2017,0
Dry mass movement,,2018,0
Earthquake,,1900,0
Earthquake,,1901,24
Earthquake,,1902,0
Earthquake,,1903,0
Earthquake,,1904,2181
Earthquake,,1905,20100
Earthquake,,1906,110253
Earthquake,,1907,0
Earthquake,,1908,0
Earthquake,,1909,3294
Earthquake,,1910,0
Earthquake,,1911,1266
Earthquake,,1912,16620
Earthquake,,1913,0
Earthquake,,1914,53589
Earthquake,,1915,0
Earthquake,,1916,2133
Earthquake,,1917,390
Earthquake,,1918,0
Earthquake,,1920,0
Earthquake,,1922,417
Earthquake,,1923,0
Earthquake,,1924,12390
Earthquake,,1925,17628
Earthquake,,1926,0
Earthquake,,1927,180152
Earthquake,,1928,0
Earthquake,,1929,0
Earthquake,,1930,25551
Earthquake,,1931,0
Earthquake,,1932,17643
Earthquake,,1933,150
Earthquake,,1934,0
Earthquake,,1935,239535
Earthquake,,1936,71465
Earthquake,,1937,0
Earthquake,,1938,4710
Earthquake,,1939,8937
Earthquake,,1940,63730
Earthquake,,1941,37259
Earthquake,,1942,0
Earthquake,,1943,23217
Earthquake,,1944,78438
Earthquake,,1945,21663
Earthquake,,1946,3500
Earthquake,,1947,35000
Earthquake,,1948,322220
Earthquake,,1949,5050
Earthquake,,1950,40000
Earthquake,,1951,161360
Earthquake,,1952,4779
Earthquake,,1953,142365
Earthquake,,1954,129250
Earthquake,,1955,1377
Earthquake,,1956,0
Earthquake,,1957,0
Earthquake,,1958,475
Earthquake,,1959,0
Earthquake,,1960,1250
Earthquake,,1961,0
Earthquake,,1962,30000
Earthquake,,1963,5000
Earthquake,,1964,23000
Earthquake,,1965,60000
Earthquake,,1966,49256
Earthquake,,1967,113995
Earthquake,,1968,14000
Earthquake,,1969,146200
Earthquake,,1970,27992
Earthquake,,1971,27465
Earthquake,,1972,375000
Earthquake,,1973,924
Earthquake,,1974,5200
Earthquake,,1975,0
Earthquake,,1976,1383000
Earthquake,,1977,215500
Earthquake,,1978,2955
Earthquake,,1979,603645
Earthquake,,1980,478000
Earthquake,,1981,0
Earthquake,,1982,9500
Earthquake,,1983,91555
Earthquake,,1984,34300
Earthquake,,1985,619800
Earthquake,,1986,266940
Earthquake,,1987,156000
Earthquake,,1988,799250
Earthquake,,1989,200565
Earthquake,,1990,185006
Earthquake,,1991,250110
Earthquake,,1992,257808
Earthquake,,1993,47980
Earthquake,,1994,61232
Earthquake,,1995,375136
Earthquake,,1996,1890015
Earthquake,,1997,348545
Earthquake,,1998,243410
Earthquake,,1999,1418748
Earthquake,,2000,377229
Earthquake,,2001,2243015
Earthquake,,2002,58534
Earthquake,,2003,645314
Earthquake,,2004,1177207
Earthquake,,2005,5151700
Earthquake,,2006,844990
Earthquake,,2007,86833
Earthquake,,2008,417140
Earthquake,,2009,128960
Earthquake,,2010,912204
Earthquake,,2011,202752
