Entity,Code,Year,Total affected
All disasters,,1900,0
All disasters,,1901,24
All disasters,,1902,142652
All disasters,,1903,60023
All disasters,,1904,3969
All disasters,,1905,22295
All disasters,,1906,120482
All disasters,,1907,90000
All disasters,,1908,150000
All disasters,,1909,3345
All disasters,,1910,32000
All disasters,,1911,1687
All disasters,,1912,115715
All disasters,,1913,112
All disasters,,1914,54309
All disasters,,1915,3000022
All disasters,,1916,2153
All disasters,,1917,635475
All disasters,,1918,0
All disasters,,1919,0
All disasters,,1920,20000167
All disasters,,1921,5000000
All disasters,,1922,11417
All disasters,,1923,230033
All disasters,,1924,1012390
All disasters,,1925,17628
All disasters,,1926,40000
All disasters,,1927,253494
All disasters,,1928,8209
All disasters,,1929,1121
All disasters,,1930,52632
All disasters,,1931,36000
All disasters,,1932,30701
All disasters,,1933,3600150
All disasters,,1934,0
All disasters,,1935,10313092
All disasters,,1936,221516
All disasters,,1937,7700
All disasters,,1938,6430
All disasters,,1939,656587
All disasters,,1940,69705
All disasters,,1941,37592
All disasters,,1942,135
All disasters,,1943,77348
All disasters,,1944,263673
All disasters,,1945,1906261
All disasters,,1946,6384
All disasters,,1947,35020
All disasters,,1948,765028
All disasters,,1949,299641
All disasters,,1950,10814367
All disasters,,1951,734580
All disasters,,1952,1006727
All disasters,,1953,3386062
All disasters,,1954,437446
All disasters,,1955,405729
All disasters,,1956,1079589
All disasters,,1957,536770
All disasters,,1958,29426
All disasters,,1959,1514863
All disasters,,1960,2843827
All disasters,,1961,1313555
All disasters,,1962,173454
All disasters,,1963,6187903
All disasters,,1964,7887577
All disasters,,1965,122997291
All disasters,,1966,12405642
All disasters,,1967,6503129
All disasters,,1968,26644918
All disasters,,1969,10399175
All disasters,,1970,47196529
All disasters,,1971,11579552
All disasters,,1972,219044676
All disasters,,1973,12116122
All disasters,,1974,44808113
All disasters,,1975,51089224
All disasters,,1976,28561796
All disasters,,1977,23660875
All disasters,,1978,52865947
All disasters,,1979,61733575
All disasters,,1980,92739364
All disasters,,1981,34477551
All disasters,,1982,167954733
All disasters,,1983,68943674
All disasters,,1984,63372532
All disasters,,1985,27975584
All disasters,,1986,31793952
All disasters,,1987,373629956
All disasters,,1988,206536174
All disasters,,1989,172211162
All disasters,,1990,95820521
All disasters,,1991,272465401
All disasters,,1992,67447049
All disasters,,1993,171399524
All disasters,,1994,267347327
All disasters,,1995,222286804
All disasters,,1996,220910169
All disasters,,1997,68412955
All disasters,,1998,342839928
All disasters,,1999,284175229
All disasters,,2000,169953905
All disasters,,2001,109230632
All disasters,,2002,657585243
All disasters,,2003,254954552
All disasters,,2004,161718760
All disasters,,2005,160310808
All disasters,,2006,125947569
All disasters,,2007,212359944
All disasters,,2008,221418683
All disasters,,2009,200797373
All disasters,,2010,266543904
All disasters,,2011,209035448
All disasters,,2012,116120044
All disasters,,2013,98768302
All disasters,,2014,143282831
All disasters,,2015,430959537
All disasters,,2016,205303332
All disasters,,2017,103861309
All disasters,,2018,83844592
All disasters,,2019,107719483
All disasters,,2020,110455764
All disasters,,2021,110470786
All disasters,,2022,185935122
All disasters,,2023,52517384
Drought,,1900,0
Drought,,1903,0
Drought,,1906,0
Drought,,1910,32000
Drought,,1919,0
Drought,,1920,20000000
Drought,,1921,5000000
Drought,,1928,0
Drought,,1931,25000
Drought,,1933,0
Drought,,1940,0
Drought,,1942,0
Drought,,1943,0
Drought,,1946,0
Drought,,1947,0
Drought,,1960,0
Drought,,1961,0
Drought,,1963,13400
Drought,,1964,2596000
Drought,,1965,101966000
Drought,,1966,360000
Drought,,1967,2878483
Drought,,1968,1114217
Drought,,1969,7216604
Drought,,1970,10087600
Drought,,1971,849000
Drought,,1972,204700000
Drought,,1973,3230000
Drought,,1974,507000
Drought,,1976,7277000
Drought,,1977,4251400
Drought,,1978,6547885
Drought,,1979,25992000
Drought,,1980,26940100
Drought,,1981,9947300
Drought,,1982,122000000
Drought,,1983,42684109
Drought,,1984,2352000
Drought,,1985,500000
Drought,,1986,851000
Drought,,1987,317012367
Drought,,1988,54199500
Drought,,1989,17060000
Drought,,1990,28285842
Drought,,1991,19102000
Drought,,1992,28100000
Drought,,1993,3531507
Drought,,1994,95015000
Drought,,1995,10871994
Drought,,1996,4942000
Drought,,1997,6973300
Drought,,1998,14054335
Drought,,1999,102337545
Drought,,2000,78025415
Drought,,2001,32581154
Drought,,2002,377094935
Drought,,2003,67732075
Drought,,2004,17971500
Drought,,2005,29550990
Drought,,2006,23857000
Drought,,2007,5278144
Drought,,2008,34068000
Drought,,2009,86295500
Drought,,2010,59147657
Drought,,2011,27848515
Drought,,2012,28363085
Drought,,2013,10504904
Drought,,2014,71147051
Drought,,2015,382985115
Drought,,2016,29526000
Drought,,2017,18561874
Drought,,2018,25548210
Drought,,2019,22722593
Drought,,2020,33189316
Drought,,2021,60415145
Drought,,2022,107353415
Drought,,2023,18760300
Dry mass movement,,1903,23
Dry mass movement,,1905,18
Dry mass movement,,1908,0
Dry mass movement,,1937,0
Dry mass movement,,1955,2006
Dry mass movement,,1962,0
Dry mass movement,,1963,0
Dry mass movement,,1980,0
Dry mass movement,,1982,200
Dry mass movement,,1983,0
Dry mass movement,,1985,0
Dry mass movement,,1987,701
Dry mass movement,,1988,1000
Dry mass movement,,1989,8000
Dry mass movement,,1990,5115
Dry mass movement,,1991,0
Dry mass movement,,1992,1469
Dry mass movement,,1993,300
Dry mass movement,,2000,0
Dry mass movement,,2002,0
Dry mass movement,,2004,353
Dry mass movement,,2006,5
Dry mass movement,,2008,697
Dry mass movement,,2009,3028
Dry mass movement,,2012,0
Dry mass movement,,2013,2
Dry mass movement,,2015,0
Dry mass movement,,2017,200
Dry mass movement,,2018,0
Earthquake,,1900,0
Earthquake,,1901,24
Earthquake,,1902,142652
Earthquake,,1903,60000
Earthquake,,1904,3969
Earthquake,,1905,22277
Earthquake,,1906,120482
Earthquake,,1907,90000
Earthquake,,1908,150000
Earthquake,,1909,3345
Earthquake,,1910,0
Earthquake,,1911,1288
Earthquake,,1912,18195
Earthquake,,1913,112
Earthquake,,1914,54309
Earthquake,,1915,0
Earthquake,,1916,2153
Earthquake,,1917,475
Earthquake,,1918,0
Earthquake,,1920,167
Earthquake,,1922,417
Earthquake,,1923,203733
Earthquake,,1924,12390
Earthquake,,1925,17628
Earthquake,,1926,0
Earthquake,,1927,213484
Earthquake,,1928,209
Earthquake,,1929,1121
Earthquake,,1930,40632
Earthquake,,1931,11000
Earthquake,,1932,28201
Earthquake,,1933,150
Earthquake,,1934,0
Earthquake,,1935,282592
Earthquake,,1936,71516
Earthquake,,1937,200
Earthquake,,1938,6430
Earthquake,,1939,652687
Earthquake,,1940,67705
Earthquake,,1941,37472
Earthquake,,1942,135
Earthquake,,1943,44348
Earthquake,,1944,235573
Earthquake,,1945,22589
Earthquake,,1946,3884
Earthquake,,1947,35020
Earthquake,,1948,350575
Earthquake,,1949,105595
Earthquake,,1950,40250
Earthquake,,1951,162346
Earthquake,,1952,5446
Earthquake,,1953,194952
Earthquake,,1954,134551
Earthquake,,1955,28723
Earthquake,,1956,2589
Earthquake,,1957,15219
Earthquake,,1958,4426
Earthquake,,1959,263
Earthquake,,1960,2029450
Earthquake,,1961,0
Earthquake,,1962,133454
Earthquake,,1963,8693
Earthquake,,1964,116461
Earthquake,,1965,254873
Earthquake,,1966,376265
Earthquake,,1967,560579
Earthquake,,1968,193127
Earthquake,,1969,400540
Earthquake,,1970,3421271
Earthquake,,1971,2450749
Earthquake,,1972,2323923
Earthquake,,1973,5077
Earthquake,,1974,93947
Earthquake,,1975,54932
Earthquake,,1976,6400395
Earthquake,,1977,918507
Earthquake,,1978,652298
Earthquake,,1979,1020158
Earthquake,,1980,1635433
Earthquake,,1981,158268
Earthquake,,1982,108194
Earthquake,,1983,1019927
Earthquake,,1984,796086
Earthquake,,1985,3708992
Earthquake,,1986,1108400
Earthquake,,1987,416611
Earthquake,,1988,23285858
Earthquake,,1989,353624
Earthquake,,1990,2596470
Earthquake,,1991,977815
Earthquake,,1992,768516
Earthquake,,1993,225272
Earthquake,,1994,791945
Earthquake,,1995,1940555
Earthquake,,1996,5490181
